cust,date,tpv,cnt
1694322418280520307,24-09-2013,10.0,2
1591965169218509387,12-03-2015,216.3,3
1266947023205935185,15-06-2015,31.6,4
1988700625499906233,10-08-2013,8.0,1
1254982538453870464,03-03-2015,8.0,1
1684834756095840662,04-03-2014,10.7,1
1796242267953145938,07-08-2013,5.0,1
1184613101170749245,25-09-2015,30.0,1
1267253123407213664,13-01-2015,0.0,0
1785528500281335680,30-09-2014,8.1,1
1875722612986588933,21-07-2014,13.5,1
2047541165536431038,27-09-2015,92.0,2
1758967069607024818,25-04-2014,61.0,1
2242296807606358387,08-08-2015,12.0,1
1273945947477168116,29-07-2013,10.8,1
2233019346572380146,08-10-2014,1.6,1
1730759388727549149,25-04-2014,109.5,1
2021009098849725322,18-05-2014,60.0,1
1626339619691866578,15-08-2015,10.9,1
1668031972358477704,24-07-2015,10.0,1
1609969974470631168,04-03-2014,290.0,1
2092544538267692944,17-07-2013,41.6,3
1728706621222399743,17-11-2013,26.9,1
1979170834887607315,02-09-2015,25.0,1
2130166647331000195,13-11-2014,18.5,1
1969968688345709159,08-08-2013,72.8,1
1875668426185042526,02-01-2014,53.0,2
1769285561167373506,16-03-2014,6.8,1
1598368087937915078,11-09-2014,95.0,1
2096548622554383538,03-07-2014,678.2,2
1993950886820111678,21-02-2015,20.9,1
1520532148259232526,27-07-2013,10.5,2
1656181320183923554,19-09-2015,85.0,1
1222099638127173918,12-09-2013,85.7,4
1847006099056213428,19-06-2014,5.5,1
1378610136443483380,06-04-2014,77.5,1
1189624910010231757,26-02-2014,13.5,1
2252336530135494785,06-08-2013,-2.2,-1
1428788203786690496,09-07-2013,2.8,1
1944752500968575739,30-07-2013,7.6,1
2168657805029601619,10-02-2014,42.9,1
1228328177576975453,03-11-2013,4.0,1
1305261797563318901,21-07-2013,36.0,1
1254274862786788442,14-09-2013,106.9,2
1905138780324774498,28-07-2013,116.4,1
2244444307653413439,03-08-2013,0.0,0
1935068477362618065,09-05-2015,189.2,1
1653489760659361402,05-11-2013,223.4,8
1395550474973806711,28-06-2015,33.7,2
1698964591577806454,07-04-2015,35.2,1
2036341791676179793,31-08-2013,11.7,1
1865846380820503903,17-06-2014,0.0,0
2000696029406401372,02-04-2015,10.5,1
1672919733877563557,15-06-2015,4.0,2
1378610136443483380,09-03-2014,31.5,2
1460882444872340678,16-08-2014,27.2,1
1775918815113271222,25-09-2015,35.0,1
2255499273527096447,13-02-2014,8.0,1
1753534578890947635,07-09-2014,103.6,5
1962211823629567020,02-06-2015,2.0,1
1390692648848934633,17-07-2013,6.5,1
2065796396143556618,18-07-2013,39.7,1
1592158325706101363,23-08-2013,35.0,1
1227882623719821381,18-08-2014,8.9,2
1176436086270818583,29-09-2013,196.2,1
1470061745256829542,18-09-2014,25.0,1
1283312266871675728,01-05-2015,800.0,1
1992786898047613241,26-09-2013,297.9,1
2040267819987675421,05-09-2014,41.0,3
2301882840943571690,24-09-2015,18.0,1
1314020117752470906,02-10-2015,44.1,2
2216416277219034176,03-01-2014,10.0,1
2267940087544452431,19-06-2015,8.0,1
1298052787655602617,21-11-2014,31.5,1
